No,date, house age,Sq feets,distand to public domin,number of registrations done,latitude,longitude,Y house price of unit area,totsl cost
328,2023.04.24,3.5,5322,757.3377,3,24.97538,121.54971,36.7,4.72E+12
329,2023.04.25,15.9,5323,1497.713,3,24.97003,121.51696,23.6,2.72E+13
330,2023.04.26,13.6,5324,4197.349,0,24.93885,121.50383,19.2,0
331,2023.04.27,32,5325,1156.777,0,24.94935,121.53046,12.8,0
332,2023.04.28,25.6,5326,4519.69,0,24.94826,121.49587,15.6,0
333,2023.04.29,39.8,5327,617.7134,2,24.97577,121.53475,39.6,3.15E+13
334,2023.04.30,7.8,5328,104.8101,5,24.96674,121.54067,38.4,2.54E+12
335,2023.05.01,30,5329,1013.341,5,24.99006,121.5346,22.8,5.61E+13
336,2023.05.02,27.3,5330,337.6016,6,24.96431,121.54063,36.5,3.26E+13
337,2023.05.03,5.1,5331,1867.233,2,24.98407,121.51748,35.6,1.10E+13
338,2023.05.04,31.3,5332,600.8604,5,24.96871,121.54651,30.9,4.70E+13
339,2023.05.05,31.5,5333,258.186,9,24.96867,121.54331,36.3,4.30E+13
340,2023.05.06,1.7,5334,329.9747,5,24.98254,121.54395,50.4,2.29E+12
341,2023.05.07,33.6,5335,270.8895,0,24.97281,121.53265,42.9,0
342,2023.05.08,13,5336,750.0704,2,24.97371,121.54951,37,1.17E+13
343,2023.05.09,5.7,5337,90.45606,9,24.97433,121.5431,53.5,4.02E+12
344,2023.05.10,33.5,5338,563.2854,8,24.98223,121.53597,46.6,1.14E+14
345,2023.05.11,34.6,5339,3085.17,0,24.998,121.5155,41.2,0
346,2023.05.12,0,5340,185.4296,0,24.9711,121.5317,37.9,0
347,2023.05.13,13.2,5341,1712.632,2,24.96412,121.5167,30.8,2.26E+13
348,2023.05.14,17.4,5342,6488.021,1,24.95719,121.47353,11.2,2.05E+13
349,2023.05.15,4.6,5343,259.6607,6,24.97585,121.54516,53.7,6.24E+12
350,2023.05.16,7.8,5344,104.8101,5,24.96674,121.54067,47,3.12E+12
351,2023.05.17,13.2,5345,492.2313,5,24.96515,121.53737,42.3,2.23E+13
352,2023.05.18,4,5346,2180.245,3,24.96324,121.51241,28.6,1.21E+13
353,2023.05.19,18.4,5347,2674.961,3,24.96143,121.50827,25.7,6.15E+13
354,2023.05.20,4.1,5348,2147.376,3,24.96299,121.51284,31.3,1.34E+13
355,2023.05.21,12.2,5349,1360.139,1,24.95204,121.54842,30.1,8.10E+12
356,2023.05.22,3.8,5350,383.8624,5,24.98085,121.54391,60.7,7.19E+12
357,2023.05.23,10.3,5351,211.4473,1,24.97417,121.52999,45.3,1.60E+12
358,2023.05.24,0,5352,338.9679,9,24.96853,121.54413,44.9,0
359,2023.05.25,1.1,5353,193.5845,6,24.96571,121.54089,45.1,9.36E+11
360,2023.05.26,5.6,5354,2408.993,0,24.95505,121.55964,24.7,0
361,2023.05.27,32.9,5355,87.30222,10,24.983,121.54022,47.1,2.20E+13
362,2023.05.28,41.4,5356,281.205,8,24.97345,121.54093,63.3,9.58E+13
363,2023.05.29,17.1,5357,967.4,4,24.98872,121.53408,40,4.31E+13
364,2023.05.30,32.3,5358,109.9455,10,24.98182,121.54086,48,2.77E+13
365,2023.05.31,35.3,5359,614.1394,7,24.97913,121.53666,33.1,8.17E+13
366,2023.07.01,17.3,5360,2261.432,4,24.96182,121.51222,29.5,7.51E+13
367,2023.07.02,14.2,5361,1801.544,1,24.95153,121.55254,24.8,1.03E+13
368,2023.07.03,15,5362,1828.319,2,24.96464,121.51531,20.9,1.86E+13
369,2023.07.04,18.2,5363,350.8515,1,24.97544,121.53119,43.1,4.48E+12
370,2023.07.05,20.2,5364,2185.128,3,24.96322,121.51237,22.8,4.91E+13
371,2023.07.06,15.9,5365,289.3248,5,24.98203,121.54348,42.1,1.58E+13
372,2023.07.07,4.1,5366,312.8963,5,24.95591,121.53956,51.7,5.40E+12
373,2023.07.08,33.9,5367,157.6052,7,24.96628,121.54196,41.5,2.53E+13
374,2023.07.09,0,5368,274.0144,1,24.9748,121.53059,52.2,0
375,2023.07.10,5.4,5369,390.5684,5,24.97937,121.54245,49.5,8.51E+12
376,2023.07.11,21.7,5370,1157.988,0,24.96165,121.55011,23.8,0
377,2023.07.12,14.7,5371,1717.193,2,24.96447,121.51649,30.5,2.51E+13
378,2023.07.13,3.9,5372,49.66105,8,24.95836,121.53756,56.8,1.43E+12
379,2023.07.14,37.3,5373,587.8877,8,24.97077,121.54634,37.4,1.07E+14
380,2023.07.15,0,5374,292.9978,6,24.97744,121.54458,69.7,0
381,2023.07.16,14.1,5375,289.3248,5,24.98203,121.54348,53.3,1.77E+13
382,2023.07.17,8,5376,132.5469,9,24.98298,121.53981,47.3,7.37E+12
383,2023.07.18,16.3,5377,3529.564,0,24.93207,121.51597,29.3,0
384,2023.07.19,29.1,5378,506.1144,4,24.97845,121.53889,40.3,3.88E+13
385,2023.07.20,16.1,5379,4066.587,0,24.94297,121.50342,12.9,0
386,2023.07.21,18.3,5380,82.88643,10,24.983,121.54026,46.6,1.15E+13
387,2023.07.22,0,5381,185.4296,0,24.9711,121.5317,55.3,0
388,2023.07.23,16.2,5382,2103.555,3,24.96042,121.51462,25.6,4.27E+13
389,2023.07.24,10.4,5383,2251.938,4,24.95957,121.51353,27.3,4.18E+13
390,2023.07.25,40.9,5384,122.3619,8,24.96756,121.5423,67.7,4.43E+13
391,2023.07.26,32.8,5385,377.8302,9,24.97151,121.5435,38.6,7.04E+13
392,2023.07.27,6.2,5386,1939.749,1,24.95155,121.55387,31.3,6.15E+12
393,2023.07.28,42.7,5387,443.802,6,24.97927,121.53874,35.3,6.56E+13
394,2023.07.29,16.9,5388,967.4,4,24.98872,121.53408,40.3,4.31E+13
395,2023.07.30,32.6,5389,4136.271,1,24.95544,121.4963,24.7,5.44E+13
396,2023.07.31,21.2,5390,512.5487,4,24.974,121.53842,42.5,3.02E+13
397,2023.08.01,37.1,5391,918.6357,1,24.97198,121.55063,31.9,1.78E+13
398,2023.08.02,13.1,5392,1164.838,4,24.99156,121.53406,32.2,3.22E+13
399,2023.08.03,14.7,5393,1717.193,2,24.96447,121.51649,23,1.90E+13
400,2023.08.04,12.7,5394,170.1289,1,24.97371,121.52984,37.3,1.32E+12
401,2023.08.05,26.8,5395,482.7581,5,24.97433,121.53863,35.5,3.76E+13
402,2023.08.06,7.6,5396,2175.03,3,24.96305,121.51254,27.7,2.25E+13
403,2023.08.07,12.7,5397,187.4823,1,24.97388,121.52981,28.5,1.11E+12
404,2023.08.08,30.9,5398,161.942,9,24.98353,121.53966,39.7,2.93E+13
405,2023.08.09,16.4,5399,289.3248,5,24.98203,121.54348,41.2,1.60E+13
406,2023.08.10,23,5400,130.9945,6,24.95663,121.53765,37.2,1.10E+13
407,2023.08.11,1.9,5401,372.1386,7,24.97293,121.54026,40.5,3.29E+12
408,2023.08.12,5.2,5402,2408.993,0,24.95505,121.55964,22.3,0
409,2023.08.13,18.5,5403,2175.744,3,24.9633,121.51243,28.1,5.56E+13
410,2023.08.14,13.7,5404,4082.015,0,24.94155,121.50381,15.4,0
411,2023.08.15,5.6,5405,90.45606,9,24.97433,121.5431,50,3.74E+12
412,2023.08.16,18.8,5406,390.9696,7,24.97923,121.53986,40.6,3.43E+13
413,2023.08.17,8.1,5407,104.8101,5,24.96674,121.54067,52.5,3.66E+12
414,2023.08.18,6.5,5408,90.45606,9,24.97433,121.5431,63.9,5.55E+12
415,2023.08.19,7.5,5409,91.45606,10,25.97433,122.5431,64.9,7.66E+12
416,2023.08.20,8.5,5410,92.45606,11,26.97433,123.5431,65.9,1.03E+13
417,2023.08.21,9.5,5411,93.45606,12,27.97433,124.5431,66.9,1.34E+13
418,2023.08.22,10.5,5412,94.45606,13,28.97433,125.5431,67.9,1.72E+13
419,2023.08.23,11.5,5413,95.45606,14,29.97433,126.5431,68.9,2.17E+13
420,2023.08.24,12.5,5414,96.45606,15,30.97433,127.5431,69.9,2.70E+13
421,2023.08.25,13.5,5415,97.45606,16,31.97433,128.5431,70.9,3.32E+13
422,2023.08.26,14.5,5416,98.45606,17,32.97433,129.5431,71.9,4.04E+13
423,2023.08.27,15.5,5417,99.45606,18,33.97433,130.5431,72.9,4.86E+13
424,2023.08.28,16.5,5418,100.45606,19,34.97433,131.5431,73.9,5.80E+13
425,2023.08.29,17.5,5419,101.45606,20,35.97433,132.5431,74.9,6.87E+13
426,2023.08.30,18.5,5420,102.45606,21,36.97433,133.5431,75.9,8.09E+13
